Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-03-22,13.2312,13.6831,13.2312,13.5129,2825346.1628827
2000-03-23,13.5129,13.7364,13.5129,13.6241,2351004.8082769
2000-03-24,13.7364,13.7945,13.5668,13.6831,2174618.5972406
2000-03-27,13.6831,13.6831,13.3958,13.3958,924068.9756492
2000-03-28,13.5129,13.5129,13.3441,13.5129,1474370.4566014
2000-03-29,13.5129,13.5129,13.2852,13.3958,1254502.9140168
2000-03-30,13.4539,13.4539,13.0044,13.1149,674694.0193203
2000-03-31,12.9519,13.1149,12.9519,13.1149,726997.89781983
2000-04-03,13.173,13.173,12.7235,12.7235,740489.40891761
2000-04-04,12.7235,12.7817,12.5524,12.6637,1243331.8402401
2000-04-05,12.7235,12.7235,12.3312,12.5016,1501809.0172815
2000-04-06,12.5524,12.7235,12.5016,12.6637,812393.65508331
2000-04-07,12.7817,12.7817,12.441,12.6637,1011617.8544901
2000-04-10,12.834,13.0044,12.834,13.0044,930414.76108091
2000-04-11,12.9519,12.9519,12.7817,12.8922,662151.44495856
2000-04-12,13.0044,13.2312,12.8922,13.173,943064.80832909
2000-04-13,13.0633,13.2312,13.0633,13.173,710493.48205308
2000-04-14,13.2312,13.2852,13.0633,13.1149,964288.2608372
2000-04-17,12.3312,12.5524,12.161,12.441,1833482.5576917
2000-04-18,12.7817,12.7817,12.3837,12.5016,1019187.3652879
2000-04-19,12.7235,12.7235,12.3837,12.3837,1314195.5534597
2000-04-20,12.3837,12.6121,12.3837,12.5524,787361.02152025
2000-04-25,12.6121,12.6637,12.3837,12.6637,656713.07264767
2000-04-26,12.6637,12.7235,12.5016,12.5016,549094.85354523
2000-04-27,12.3837,12.6121,12.3837,12.5016,852693.54493614
2000-04-28,12.5524,12.6637,12.3837,12.6121,377912.52852211
2000-05-04,12.441,12.6121,12.3837,12.3837,343944.98999017
2000-05-05,12.3312,12.441,12.3312,12.3837,268815.33594819
2000-05-08,12.3837,12.3837,12.2191,12.3312,245141.99014216
2000-05-09,12.3312,12.5016,12.2707,12.3837,578289.61889259
2000-05-10,12.3837,12.5524,12.3837,12.5524,455567.79539564
2000-05-11,12.3837,12.7817,12.3837,12.7235,798755.59004947
2000-05-12,12.6121,12.6121,12.441,12.5016,487205.12634412
2000-05-15,12.3837,12.3837,12.2707,12.3837,376928.17458486
2000-05-16,12.5016,12.7817,12.3837,12.6637,704957.40711815
2000-05-17,12.5524,12.6121,12.3837,12.6121,574782.09468939
2000-05-18,12.5524,12.5524,12.2707,12.3312,912712.26688681
2000-05-19,12.3312,12.3312,12.161,12.161,1008480.3789754
2000-05-22,12.1021,12.2191,11.9383,11.9383,418228.29505136
2000-05-23,11.9383,11.9383,11.5394,11.7089,938885.57858558
2000-05-24,11.316,11.5394,11.316,11.4281,1094349.9939655
2000-05-25,11.5394,11.6516,11.316,11.6516,968379.55821908
2000-05-26,11.37,11.5394,11.37,11.4281,1130548.8161741
2000-05-29,11.37,11.6516,11.37,11.5394,608040.0679142
2000-05-30,11.6516,11.822,11.5984,11.7089,383497.45476907
2000-05-31,11.9383,11.9383,11.6516,11.7089,811906.36324588
2000-06-01,11.822,11.9906,11.7672,11.8801,560020.44947903
2000-06-02,11.9383,12.0488,11.7089,11.9383,516649.03338279
2000-06-05,12.0488,12.6121,11.9383,12.6121,1027878.0136967
2000-06-06,12.3837,12.3837,11.9383,11.9383,588769.44660419
2000-06-07,12.1021,12.5016,12.0488,12.3837,929456.05408247
2000-06-08,12.5016,12.5016,12.2191,12.2191,913937.21353577
2000-06-09,12.2707,12.3312,12.161,12.2191,700481.4056541
2000-06-12,12.2191,12.2191,11.9906,12.1021,339043.98211153
2000-06-13,12.1021,12.2707,12.0488,12.2191,605575.51922268
2000-06-14,12.6637,12.7817,12.3312,12.5524,2494660.6402582
2000-06-15,12.5524,12.5524,12.3837,12.441,774837.98768332
2000-06-16,12.3837,12.3837,12.161,12.2191,847637.43414183
2000-06-19,12.161,12.2707,12.0488,12.2191,906577.7633796
2000-06-20,12.3312,12.441,12.2707,12.3837,732082.09811856
2000-06-21,12.3837,12.3837,12.2191,12.2707,414681.68979853
2000-06-23,12.1021,12.3312,12.1021,12.3312,665880.02134867
2000-06-26,12.1021,12.161,11.8801,12.0488,872742.12339012
2000-06-27,12.0488,12.0488,11.8801,11.8801,835257.29039257
2000-06-28,11.9906,11.9906,11.822,11.8801,726804.93513734
2000-06-29,11.9383,12.161,11.822,11.8801,2262316.4725831
2000-06-30,11.822,11.9906,11.5984,11.6516,1472748.5930422
2000-07-03,11.822,11.822,11.6516,11.7089,1792128.700782
2000-07-04,11.7672,11.7672,11.6516,11.7089,2312985.0534127
2000-07-05,11.7089,11.8801,11.7089,11.822,2069030.1501527
2000-07-06,11.6516,11.7089,11.5984,11.6516,1545861.9091805
2000-07-07,11.5394,11.7089,11.5394,11.6516,4324997.1734557
2000-07-10,11.7089,11.7089,11.5394,11.5984,2578036.3957696
2000-07-11,11.5984,11.5984,11.316,11.37,2599997.5030892
2000-07-12,11.37,11.5394,11.37,11.4863,1988624.5544123
2000-07-13,11.5394,11.8801,11.5394,11.7089,2576138.5222975
2000-07-14,11.7089,11.822,11.6516,11.7089,2024544.9241423
2000-07-17,11.822,11.9383,11.7672,11.9383,3105206.7804792
2000-07-18,12.1021,12.3837,12.1021,12.2707,2664990.5098865
2000-07-19,12.2707,12.5016,12.2707,12.3312,1400000.4404614
2000-07-20,12.2707,12.2707,12.0488,12.161,1681871.2895475
2000-07-21,12.161,12.2707,12.161,12.161,744177.68297529
2000-07-24,12.1021,12.2191,12.1021,12.161,772296.49817536
2000-07-25,12.1021,12.2707,12.1021,12.2707,1548632.999855
2000-07-26,12.3312,12.3312,12.161,12.2191,1212487.1218292
2000-07-27,12.1021,12.1021,11.8801,11.9383,1395156.8328743
2000-07-28,11.8801,12.0488,11.822,11.8801,944008.85993393
2000-07-31,11.7089,11.7672,11.5394,11.7089,1669138.1950689
2000-08-01,11.6516,11.6516,11.37,11.4281,1004760.3515649
2000-08-02,11.5394,11.7089,11.5394,11.6516,1139627.8325134
2000-08-03,11.7089,11.7672,11.5394,11.6516,1005344.1247436
2000-08-04,11.6516,11.7672,11.5984,11.6516,441193.29683307
2000-08-07,11.6516,11.6516,11.4863,11.5394,429831.70293947
2000-08-08,11.5394,11.5984,11.4863,11.5394,845514.84463446
2000-08-09,11.5394,11.7089,11.5394,11.5984,640993.94172168
2000-08-10,11.5984,11.5984,11.4863,11.5984,706299.59691596
2000-08-11,11.5394,11.5394,11.4281,11.4281,554265.7649228
2000-08-14,11.4281,11.4863,11.37,11.4281,371046.47661737
2000-08-16,11.5394,11.5984,11.4863,11.5394,847934.20586237
2000-08-17,11.4281,11.4281,11.2586,11.316,799186.70287806
2000-08-18,11.316,11.316,10.8075,11.1178,1138035.2797415
2000-08-21,10.9255,11.0883,10.9255,11.036,1155256.5885122
2000-08-22,11.036,11.0883,11.036,11.0654,649109.3659314
2000-08-23,11.036,11.1481,11.036,11.0883,845307.22655837
2000-08-24,11.1178,11.37,11.1178,11.316,1208037.9885867
2000-08-25,11.37,11.822,11.37,11.7672,1612004.1430932
2000-08-28,11.5394,11.5394,11.316,11.37,518576.21764207
2000-08-29,11.316,11.316,11.2063,11.316,623695.69213457
2000-08-30,11.2586,11.7089,11.2586,11.4281,1473014.8326928
2000-08-31,11.4281,11.5984,11.4281,11.4281,664583.01901448
2000-09-01,11.4863,11.5394,11.316,11.4863,1580122.5555846
2000-09-04,11.5394,11.5984,11.4863,11.4863,1176607.0544315
2000-09-05,11.5984,11.822,11.5394,11.6516,2908390.9507551
2000-09-06,11.5984,11.6516,11.4863,11.5984,909768.97533746
2000-09-07,11.5394,11.5394,11.37,11.4281,678497.09396124
2000-09-08,11.37,11.37,11.2292,11.316,640444.36446143
2000-09-11,11.1481,11.2292,11.0883,11.1481,532674.70629172
2000-09-12,11.0883,11.4863,11.0883,11.37,1084416.0796658
2000-09-13,11.316,11.5394,11.2292,11.2586,1336405.8024707
2000-09-14,11.316,11.4863,11.1768,11.4863,815704.55275562
2000-09-15,11.316,11.37,11.2586,11.316,607158.3017322
2000-09-18,11.2063,11.37,11.2063,11.316,624649.5140018
2000-09-19,11.2063,11.2063,11.036,11.0654,1441812.2784213
2000-09-20,11.0883,11.0883,10.9255,11.0654,751874.20718442
2000-09-21,10.977,10.977,10.584,10.6372,2040400.838742
2000-09-22,10.3032,10.4734,10.2442,10.3032,1102735.3216741
2000-09-25,10.4734,10.5258,10.3325,10.385,548434.13955013
2000-09-26,10.3032,10.3032,10.0754,10.0754,936264.70569558
2000-09-27,9.96409,10.0754,9.85274,9.93381,1225060.2282609
2000-09-28,9.91088,9.93381,9.65295,9.91088,1053451.6755404
2000-09-29,10.1336,10.2155,10.0517,10.1336,1869543.3749438
2000-10-02,10.1336,10.1336,9.96409,9.99279,474379.21437265
2000-10-03,9.88134,9.93381,9.7111,9.93381,518048.62347223
2000-10-04,9.79375,9.85274,9.7111,9.74222,454817.9277561
2000-10-05,9.85274,9.99279,9.85274,9.93381,862601.81229708
2000-10-06,9.96409,9.99279,9.91088,9.91088,701563.4622154
2000-10-09,9.88134,9.88134,9.65295,9.65295,752863.44625287
2000-10-10,9.7111,9.7111,9.54076,9.60049,699563.00098808
2000-10-11,9.4008,9.4008,9.0389,9.34265,1311288.9003944
2000-10-12,9.29024,9.5129,9.29024,9.29024,1269049.6134542
2000-10-13,8.95128,8.95128,8.64005,8.80962,1963363.5409655
2000-10-16,9.29024,9.3721,9.06258,9.25994,1123653.4534821
2000-10-17,9.29024,9.7111,9.29024,9.54076,2085422.2079018
2000-10-18,9.4008,9.60049,9.01024,9.34265,3628142.9777192
2000-10-19,9.7111,10.0517,9.7111,9.85274,1296047.2910434
2000-10-20,10.0231,10.1041,9.93381,10.0754,1316338.9047747
2000-10-23,10.0754,10.1041,9.93381,10.0231,1765636.6342723
2000-10-24,10.1336,10.3325,10.1336,10.1631,1360394.2392392
2000-10-25,10.4153,10.5258,10.1925,10.2442,2074972.9122602
2000-10-26,10.2442,10.2745,10.0231,10.0754,862225.65719451
2000-10-27,10.0754,10.1631,9.96409,10.0754,568615.83782937
2000-10-30,10.0231,10.0231,9.82329,9.93381,538539.30630001
2000-10-31,10.0231,10.2745,9.99279,10.2155,739071.49958616
2000-11-02,10.4153,10.584,10.3555,10.584,2015738.2538675
2000-11-03,10.7559,10.8656,10.6372,10.6372,1899539.3018083
2000-11-06,10.7559,11.0654,10.7559,11.036,1808427.9410382
2000-11-07,11.0883,11.2292,10.9255,11.0883,2400206.628463
2000-11-08,11.1481,11.2063,11.0073,11.036,858637.52832646
2000-11-09,10.9484,10.9484,10.584,10.6953,1748684.0077177
2000-11-10,10.6953,10.6953,10.4734,10.5258,1072264.3158002
2000-11-13,10.3032,10.4153,10.2745,10.4153,1944844.0085779
2000-11-14,10.6372,10.7559,10.5569,10.7256,1054737.6863294
2000-11-15,10.7559,10.8656,10.6134,10.8075,985123.34541474
2000-11-16,10.6953,10.977,10.6953,10.977,796814.97167938
2000-11-17,10.8075,11.2063,10.8075,11.2063,1498002.2787922
2000-11-20,11.2586,11.5984,11.1768,11.316,2026699.2670025
2000-11-21,11.316,11.5394,11.316,11.4281,1407642.0069445
2000-11-22,11.2586,11.37,11.1768,11.316,834010.3606532
2000-11-23,11.316,11.4281,11.1768,11.2063,991569.27603609
2000-11-24,11.2586,11.5984,11.2292,11.5394,1620687.4638051
2000-11-27,11.822,11.8801,11.5394,11.5394,1712988.354023
2000-11-28,11.4281,11.5394,11.2586,11.316,1547812.297813
2000-11-29,11.1178,11.37,11.1178,11.2063,1918023.4169948
2000-11-30,11.316,11.4281,11.1768,11.1768,1329489.6779711
2000-12-01,11.316,11.4863,11.2586,11.37,870637.85312475
2000-12-04,11.4281,11.6516,11.2292,11.316,1264538.194789
2000-12-05,11.5394,11.7672,11.4863,11.7672,1573802.4170917
2000-12-06,11.8801,12.1021,11.7672,11.9906,2900590.6175079
2000-12-07,11.822,12.0488,11.822,11.8801,1533674.7281137
2000-12-08,11.9906,12.0488,11.9383,11.9383,1456085.4105114
2000-12-11,11.8801,12.0488,11.7672,11.822,1037297.7679374
2000-12-12,11.7672,12.0488,11.7672,12.0488,1387179.4136211
2000-12-13,12.0488,12.2191,11.9383,12.2191,2938175.5956951
2000-12-14,12.1021,12.441,12.1021,12.3312,2635233.9544509
2000-12-15,12.2707,12.3837,12.1021,12.1021,1434809.4428429
2000-12-18,12.1021,12.1021,11.8801,11.9383,1055718.3764182
2000-12-19,11.9906,12.2191,11.9383,12.161,1772755.4917167
2000-12-20,11.9906,12.1021,11.7089,11.822,1494223.6298073
2000-12-21,11.7672,12.2191,11.7672,12.1021,2620309.8786281
2000-12-22,12.3837,12.7235,12.3312,12.6637,3544215.202382
2000-12-27,12.834,12.8922,12.6121,12.6637,1516085.8132201
2000-12-28,12.5524,12.6637,12.3837,12.441,875408.18374374
2000-12-29,12.3837,12.9519,12.3837,12.6637,3437642.4013569
2001-01-02,12.5524,12.7817,12.441,12.7235,693037.6869847
2001-01-03,12.6121,12.7817,12.3837,12.5524,1407502.7807052
2001-01-04,12.7817,12.834,12.3837,12.441,1408678.8760421
2001-01-05,12.5016,12.5524,12.2191,12.2191,1535207.4380284
2001-01-08,12.161,12.2707,11.7672,11.7672,1755623.3365905
2001-01-09,11.9383,11.9906,11.6516,11.9906,2242079.8165778
2001-01-10,11.822,12.0488,11.7672,11.822,1670902.9487157
2001-01-11,11.822,11.9383,11.6516,11.6516,1373558.4465465
2001-01-12,11.7672,11.9383,11.6516,11.7672,795676.73610926
2001-01-15,11.822,11.9906,11.7672,11.9383,1504360.2770519
2001-01-16,11.8801,12.0488,11.7089,11.9906,1182901.5459856
2001-01-17,11.9906,12.2191,11.9383,12.161,1960737.7829443
2001-01-18,12.0488,12.3312,12.0488,12.2707,1584768.3153579
2001-01-19,12.3312,12.441,12.2707,12.3837,2030634.2401859
2001-01-22,12.2707,12.3837,12.1021,12.1021,1114620.8458892
2001-01-23,12.1021,12.2191,11.9906,12.161,896218.84266526
2001-01-24,12.2707,12.2707,12.1021,12.1021,878743.50707206
2001-01-25,12.1021,12.3837,11.9906,12.2707,1265727.7242367
2001-01-26,12.1021,12.5016,12.0488,12.3312,1676363.304117
2001-01-29,12.2191,12.5524,12.2191,12.3837,1189503.8008054
2001-01-30,12.5016,12.5524,12.2707,12.3312,778074.3871048
2001-01-31,12.3312,12.3837,12.2191,12.2707,722905.37915516
2001-02-01,12.2707,12.3312,12.161,12.3312,1123615.5937153
2001-02-02,12.3837,12.3837,12.2191,12.2191,1185018.029079
2001-02-05,12.2191,12.2191,11.822,11.8801,1547539.9517485
2001-02-06,11.8801,12.0488,11.6516,11.8801,1769917.2304882
2001-02-07,11.7672,11.8801,11.4281,11.5984,1908770.9784977
2001-02-08,11.5394,11.822,11.5394,11.7672,1194517.1667017
2001-02-09,11.7672,11.822,11.4863,11.5394,756859.4835763
2001-02-12,11.4281,11.5984,11.37,11.5394,621795.3760969
2001-02-13,11.5394,11.7089,11.5394,11.7089,375727.65359191
2001-02-14,11.5394,11.5984,11.316,11.4281,967544.20078349
2001-02-15,11.316,11.316,10.977,11.1178,1544761.5333772
2001-02-16,11.1178,11.1178,10.6134,10.6372,1563592.492879
2001-02-19,10.6953,10.9255,10.6372,10.7559,1580210.4879462
2001-02-20,10.8378,10.9484,10.6372,10.6372,1365402.7200043
2001-02-21,10.4734,10.7559,10.3032,10.444,1649736.8964992
2001-02-22,10.4734,10.6372,10.2155,10.2155,1298625.4190354
2001-02-23,10.3032,10.4972,10.1925,10.2442,1535914.5607699
2001-02-26,10.385,10.444,10.3325,10.3325,572856.13171291
